hit_title,e_value,identity_pct,align_length,query_coverage
sp|P38398.2| RecName: Full=Breast cancer type 1 susceptibility protein; AltName: Full=RING finger protein 53; AltName: Full=RING-type E3 ubiquitin transferase BRCA1 [Homo sapiens],0.0,100.0,1863,100.0
sp|Q9GKK8.2| RecName: Full=Breast cancer type 1 susceptibility protein homolog; AltName: Full=RING-type E3 ubiquitin transferase BRCA1 [Pan troglodytes],0.0,98.44,1863,100.0
sp|Q6J6I8.1| RecName: Full=Breast cancer type 1 susceptibility protein homolog; AltName: Full=RING-type E3 ubiquitin transferase BRCA1 [Gorilla gorilla gorilla],0.0,98.01,1863,100.0
sp|Q6J6J0.1| RecName: Full=Breast cancer type 1 susceptibility protein homolog; AltName: Full=RING-type E3 ubiquitin transferase BRCA1 [Pongo pygmaeus],0.0,96.83,1863,100.0
sp|Q6J6I9.1| RecName: Full=Breast cancer type 1 susceptibility protein homolog; AltName: Full=RING-type E3 ubiquitin transferase BRCA1 [Macaca mulatta],0.0,93.03,1864,100.05
sp|Q95153.1| RecName: Full=Breast cancer type 1 susceptibility protein homolog; AltName: Full=RING-type E3 ubiquitin transferase BRCA1 [Canis lupus familiaris],0.0,74.12,1874,100.59
sp|Q864U1.1| RecName: Full=Breast cancer type 1 susceptibility protein homolog; AltName: Full=RING-type E3 ubiquitin transferase BRCA1 [Bos taurus],0.0,71.78,1864,100.05
sp|O54952.1| RecName: Full=Breast cancer type 1 susceptibility protein homolog; AltName: Full=RING-type E3 ubiquitin transferase BRCA1 [Rattus norvegicus],0.0,56.04,1863,100.0
sp|P48754.3| RecName: Full=Breast cancer type 1 susceptibility protein homolog; AltName: Full=RING-type E3 ubiquitin transferase BRCA1 [Mus musculus],0.0,55.98,1863,100.0
sp|F4I443.1| RecName: Full=BRCA1-associated RING domain protein 1; Short=AtBARD1; AltName: Full=Protein REPRESSOR OF WUSCHEL 1 [Arabidopsis thaliana],2.38285e-16,26.43,227,12.18
sp|Q8RXD4.1| RecName: Full=Protein BREAST CANCER SUSCEPTIBILITY 1 homolog; Short=AtBRCA1 [Arabidopsis thaliana],4.10936e-14,26.76,213,11.43
sp|Q8RXD4.1| RecName: Full=Protein BREAST CANCER SUSCEPTIBILITY 1 homolog; Short=AtBRCA1 [Arabidopsis thaliana],1.01957e-05,36.36,66,3.54
sp|Q9BZY9.2| RecName: Full=E3 ubiquitin-protein ligase TRIM31; AltName: Full=Tripartite motif-containing protein 31 [Homo sapiens],1.25931e-08,31.73,104,5.58
sp|B6VQ60.2| RecName: Full=Breast cancer type 1 susceptibility protein homolog; AltName: Full=RING-type E3 ubiquitin transferase BRCA1 [Caenorhabditis elegans],2.0249e-08,33.66,101,5.42
sp|B6VQ60.2| RecName: Full=Breast cancer type 1 susceptibility protein homolog; AltName: Full=RING-type E3 ubiquitin transferase BRCA1 [Caenorhabditis elegans],0.00110877,24.72,178,9.55
sp|Q14527.2| RecName: Full=DNA-dependent ATPase/E3 ubiquitin-protein ligase HLTF; AltName: Full=DNA-binding protein/plasminogen activator inhibitor 1 regulator; AltName: Full=HIP116; AltName: Full=Helicase-like transcription factor; Short=HLTF; AltName: Full=RING finger protein 80; AltName: Full=RING-type E3 ubiquitin transferase HLTF; AltName: Full=SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 3; Short=SMARCA3; AltName: Full=Sucrose nonfermenting protein 2-like 3 [Homo sapiens],1.55607e-07,38.57,70,3.76
sp|Q5IFK1.1| RecName: Full=Microcephalin [Macaca fascicularis],2.75194e-07,23.91,230,12.35
sp|P61590.1| RecName: Full=Microcephalin [Colobus guereza],4.45953e-07,23.91,230,12.35
